ImageNumber,ObjectNumber,Metadata_C,Metadata_ChannelName,Metadata_ColorFormat,Metadata_Concentration,Metadata_Concentration,Metadata_Experiment_Number,Metadata_FileLocation,Metadata_Frame,Metadata_LPS,Metadata_Plate,Metadata_Series,Metadata_Site,Metadata_SizeC,Metadata_SizeT,Metadata_SizeX,Metadata_SizeY,Metadata_SizeZ,Metadata_T,Metadata_Well,Metadata_Z,Intensity_IntegratedIntensity_GFP,Intensity_IntegratedIntensity_GFP_aftermath,Intensity_MeanIntensity_GFP,Intensity_MeanIntensity_GFP_aftermath,Intensity_MedianIntensity_GFP,Intensity_MedianIntensity_GFP_aftermath
5,12,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,42.27058935537934,0.03806228004395962,0.04609660780303091,4.150739372296578e-05,0.03921568766236305,0.0
5,13,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,127.0549052413553,20.35409390833229,0.08271803726650735,0.0132513632215705,0.05882352963089943,0.0
5,14,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,26.85490267071873,0.06805074214935303,0.0386958251739463,9.805582442269889e-05,0.027450980618596077,0.0
5,15,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,51.01176601089537,10.43367911502719,0.07339822447610844,0.015012487935290919,0.0470588244497776,0.0
5,16,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,98.08627701550722,29.91349437367171,0.10996219396357312,0.03353530759380237,0.0784313753247261,0.0
5,17,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,382.8941241996363,286.52133496291935,0.3468243878619894,0.25953019471278926,0.23137255012989044,0.09573240578174591
5,18,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,30.99607932381332,6.035755507647991,0.05804509236669161,0.011302912935670395,0.03921568766236305,0.0
5,19,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,346.87059474363923,198.78777167294174,0.14704137123511624,0.0842678133416455,0.05882352963089943,0.0
5,20,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,200.87059358414263,74.54209792986512,0.11367888714439311,0.042185680775249076,0.06666667014360428,0.0
5,21,nan,nan,nan,100ugmL,100ugmL,1,nan,0,041GFP_wi,nan,0,nan,1,1,nan,nan,1,nan,1,nan,91.63529646210372,34.341406592167914,0.1429567807521119,0.053574737273272874,0.09803921729326248,0.0
